species_id,scientific_name,aphia_id_lsid,family,genus,common_name,habitat_zone,depth_min_m,depth_max_m,ecological_response,evidence_source,temp_pref_min_c,temp_pref_max_c,salinity_min_psu,salinity_max_psu,hypoxia_avoidance_threshold_umol_kg
POLYOPHTHALMUS_ZHADANAE,Polyophthalmus zhadanae,urn:lsid:marinespecies.org:taxname:1546215,Opheliidae,Polyophthalmus,,benthic,,,Marine organism residing in benthic zone across the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase,24.0,29.5,32.0,36.5,60.0
OPHELINA_GRANDIS,Ophelina grandis,urn:lsid:marinespecies.org:taxname:743341,Opheliidae,Ophelina,,benthic,,,Marine organism residing in benthic zone across the Indian Ocean basin. Environmental tolerance limits: Preferred Temp 24.0–29.5 °C; Salinity 32.0–36.5 PSU; Hypoxia avoidance floor 60.0 µmol/kg.,SeaLifeBase_Synonym,24.0,29.5,32.0,36.5,60.0
OPHELINA_ARABICA,Ophelina arabica,urn:lsid:marinespecies.org:taxname:1661349,Opheliidae,Ophelina,,benthic,214.5,1670.5,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
MAGELONA_FALCIFERA,Magelona falcifera,urn:lsid:marinespecies.org:taxname:329135,Magelonidae,Magelona,,benthic,3.3,287.9,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
ARMANDIA_RAMANAMURTHYI,Armandia ramanamurthyi,urn:lsid:marinespecies.org:taxname:1800703,Opheliidae,Armandia,,demersal,3.0,141.0,Habitat zone: demersal. Biology & Ecological Notes: Genus-level ecological classification: Predominantly demersal marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
MUNIDA,Munida,urn:lsid:marinespecies.org:taxname:106835,Munididae,Munida,,benthic,241.1,760.8,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
MUNIDOPSIS_WARDENI,Munidopsis wardeni,urn:lsid:marinespecies.org:taxname:392645,Munidopsidae,Munidopsis,,benthic,1107.1,1881.3,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
MUNIDOPSIS_SCOBINA,Munidopsis scobina,urn:lsid:marinespecies.org:taxname:392601,Munidopsidae,Munidopsis,,benthic,1107.1,1881.3,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
GARYMUNIDA_PROLIXA,Garymunida prolixa,urn:lsid:marinespecies.org:taxname:392165,Munididae,Garymunida,,benthic,515.0,812.0,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
PARALOMIS_INDICA,Paralomis indica,urn:lsid:marinespecies.org:taxname:550579,Lithodidae,Paralomis,,benthic,656.8,1482.3,Habitat zone: benthic. Biology & Ecological Notes: Genus-level ecological classification: Predominantly benthic marine taxa. Environmental tolerance limits: Preferred Temp 18.0–26.0 °C; Salinity 34.0–36.2 PSU; Hypoxia avoidance floor 45.0 µmol/kg.,FishBase/SeaLifeBase_Genus_Inference,18.0,26.0,34.0,36.2,45.0
