id	collectionID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	occurrenceStatus	associatedReferences	eventDate	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	identifiedBy	typeStatus	scientificNameID	scientificName
93630	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93630			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149220	Asterionella japonica
93631	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93631			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149220	Asterionella japonica
93632	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93632			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149220	Asterionella japonica
93633	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93633			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93634	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93634			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93635	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93635			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93636	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93636			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93637	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93637			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93638	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93638			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93639	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93639			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:149119	Bacteriastrum hyalinum
93640	FORV-SS-262	CMLRE	CMLRE-Phytoplankton	HumanObservation	93640			present	Records based on primary data generated onboard FORV Sagar Sampada	2009-02-16/2009-02-23						16.2551	69.9113	909743	POLYGON ((75.23438 11.26461, 68.73047 22.47195, 63.85254 22.10600, 71.41113 9.01530, 75.23438 11.26461))	Dr. K.B. Padmakumar and Lathika Cicily		urn:lsid:marinespecies.org:taxname:156607	Chaetoceros concavicornis
